Date,PG,BRK-B,V,MSFT,FB,INTC,NVDA,JNJ,GOOG,XOM,MA,DIS,JPM,PYPL,HD,GOOGL,CSCO,CMCSA,ADBE,BAC,AAPL,TSLA,VZ,UNH,AMZN
2020-08-03,128.151154,199.259995,189.545685,214.46344,251.960007,47.050617,109.973892,143.569092,1474.449951,39.20977,311.094849,116.349998,93.443634,197.070007,260.34259,1482.76001,45.704472,42.095764,447.970001,24.438637,108.208389,297.0,54.824715,299.118011,3111.889893
2020-08-04,130.591385,200.240005,191.136078,211.244598,249.830002,47.859154,112.146339,143.442429,1464.969971,40.341984,312.886322,117.290001,92.908844,197.330002,261.995544,1473.300049,46.19873,42.419727,446.920013,24.458197,108.931015,297.399994,55.466442,299.994843,3138.830078
2020-08-05,130.249771,203.619995,194.923233,210.897964,249.119995,47.654583,112.735664,144.592133,1473.609985,40.694637,326.431183,127.610001,94.522949,202.910004,261.614075,1479.089966,45.869225,41.516556,449.51001,24.829809,109.325851,297.003998,55.112049,307.846954,3205.030029
2020-08-06,129.537231,205.020004,197.577209,214.275269,265.279999,47.634968,113.222595,143.763977,1500.099976,40.499748,328.560944,130.820007,94.552116,204.089996,263.462616,1504.949951,46.295643,42.085949,464.109985,24.908045,113.140152,297.915985,55.389812,309.413422,3225.0
2020-08-07,130.357147,209.479996,195.181656,210.442368,268.440002,47.105358,111.864182,144.787033,1494.48999,40.314137,326.45105,129.929993,96.632973,198.630005,265.682861,1498.369995,45.966141,42.027046,449.570007,25.533924,110.567833,290.541992,56.060276,312.339447,3167.459961
2020-08-10,130.893982,212.580002,195.60907,206.25293,263.0,48.272457,111.519577,144.231659,1496.099976,41.307148,321.335724,128.789993,97.858139,193.320007,268.705078,1496.819946,46.256874,42.233212,443.290009,25.973995,112.174911,283.713989,56.50087,314.378845,3148.159912
2020-08-11,130.044769,212.660004,196.583206,201.429657,256.130005,47.262283,108.373268,143.198853,1480.319946,41.734047,326.968628,130.490005,100.950233,189.029999,268.8909,1480.540039,45.733547,42.203754,435.230011,26.326056,108.838837,274.877991,56.041119,310.881348,3080.669922
2020-08-12,132.221481,213.240005,197.547394,207.183945,259.890015,48.243027,114.268867,145.819824,1506.619995,41.724583,326.062927,131.789993,100.094566,191.320007,275.404846,1507.23999,46.615459,42.547356,445.359985,26.140245,112.456024,310.951996,56.127323,317.501923,3162.23999
2020-08-13,132.533829,211.979996,196.691238,206.698624,261.299988,47.62516,114.296341,144.202423,1518.449951,40.702522,324.629822,130.960007,99.540321,193.070007,275.483093,1516.650024,41.401505,42.596436,450.019989,25.768629,114.446213,324.200012,56.050697,316.763031,3161.02002
2020-08-14,131.870071,210.960007,195.755463,206.896698,261.23999,47.948803,115.504913,144.436264,1507.72998,40.882328,325.236938,130.529999,99.579224,191.460007,274.39743,1504.630005,41.188293,42.969486,447.600006,25.885983,114.344223,330.141998,56.309307,318.910767,3148.02002
2020-08-17,132.260513,206.779999,198.532913,208.263489,261.160004,47.988041,123.225883,145.167007,1517.97998,40.352371,328.650543,129.369995,96.953842,196.289993,281.918823,1516.23999,40.790951,42.733879,451.579987,25.328556,114.045685,367.127991,56.299728,315.768005,3182.409912
2020-08-18,133.246368,208.330002,198.114807,209.461884,262.339996,47.713432,122.464279,146.238785,1558.599976,40.153641,329.41684,128.919998,95.602272,194.570007,278.749878,1555.780029,40.684345,42.743698,463.51001,24.966722,114.99601,377.417999,56.68285,312.122742,3312.48999
2020-08-19,132.524078,207.210007,200.085907,208.191086,262.589996,47.399586,121.24321,146.531097,1547.530029,39.708855,330.81015,127.769997,95.825912,192.440002,276.656769,1544.609985,40.57774,42.527718,462.01001,24.937384,115.140297,375.705994,56.558334,310.733582,3260.47998
2020-08-20,133.578247,206.119995,203.231674,213.035965,269.01001,48.223412,121.268181,147.534668,1581.75,39.103191,335.706604,128.119995,94.678528,198.179993,274.524628,1576.25,41.004162,42.47863,478.480011,24.546207,117.695213,400.365997,56.47213,308.694214,3297.370117
2020-08-21,134.154144,207.429993,203.211777,211.487198,267.01001,48.331299,126.686844,148.840286,1580.420044,38.809822,335.487671,127.440002,94.629913,196.789993,277.018677,1575.569946,40.946011,42.282288,473.220001,24.428856,123.760338,409.996002,56.50087,309.492218,3284.719971
2020-08-24,135.198547,212.610001,205.481522,212.152374,271.390015,48.193993,127.053909,149.232605,1588.199951,39.954906,341.996368,130.690002,97.294174,198.880005,280.461456,1585.150024,40.878174,42.99894,476.299988,25.123194,125.24054,402.839996,57.056393,304.27066,3307.459961
2020-08-25,135.735397,213.350006,207.163925,214.912384,280.820007,48.478409,127.351067,149.144333,1608.219971,38.686798,345.997192,129.789993,97.722015,201.669998,279.855072,1605.849976,40.664963,42.616074,484.429993,25.426352,124.213104,404.667999,56.912724,307.600616,3346.48999
2020-08-26,135.081421,214.660004,209.314209,219.558701,303.910004,48.5961,127.580795,149.37973,1652.380005,37.863472,349.341064,132.179993,96.350983,203.479996,285.527893,1644.130005,40.946011,43.391628,528.48999,24.996059,125.902283,430.634003,56.951038,304.250946,3441.850098
2020-08-27,134.905731,216.869995,210.08075,224.949631,293.220001,48.44899,126.134995,150.046692,1634.329956,37.60796,354.297302,133.729996,99.520874,204.339996,282.300262,1628.52002,40.984776,43.725403,510.320007,25.475248,124.397202,447.75,56.922302,307.058807,3400.0
2020-08-28,135.452347,218.550003,214.739685,227.262863,293.660004,49.45916,131.323898,150.694046,1644.410034,38.506989,364.368896,135.539993,99.929253,204.479996,280.011566,1639.430054,40.897556,43.745037,516.440002,25.719732,124.195694,442.679993,56.759472,309.718811,3401.800049
2020-08-31,135.022858,218.039993,211.036423,223.907166,293.200012,49.969151,133.588776,150.46846,1634.180054,37.797226,356.476807,131.869995,97.420578,204.139999,278.789032,1629.530029,40.916939,43.990471,513.390015,25.172087,128.40744,498.320007,56.769054,307.92572,3450.959961
2020-09-01,134.87645,218.550003,212.390305,225.634674,295.440002,49.812229,138.089859,148.614685,1660.709961,37.31459,355.192963,133.550003,97.371956,208.929993,279.66925,1655.079956,40.7328,44.226074,527.950012,25.142748,133.522247,475.049988,56.663692,308.201599,3499.120117
2020-09-02,137.150726,221.679993,215.506226,229.983139,302.5,51.244125,143.340302,150.880402,1728.280029,37.087463,358.974823,135.389999,98.840225,210.820007,282.382965,1717.390015,41.110764,44.343884,533.799988,25.445911,130.755875,447.369995,57.975887,315.501953,3531.449951
2020-09-03,134.954544,218.149994,208.020065,215.73642,291.119995,49.41993,130.041855,146.682465,1641.839966,37.011757,342.195435,133.240005,98.529068,204.990005,270.023804,1629.51001,39.686134,43.627235,507.799988,25.268656,120.287437,407.0,58.052509,311.551331,3368.0
2020-09-04,134.661697,218.320007,203.739395,212.708359,282.730011,49.115902,126.11528,145.740875,1591.040039,36.983368,333.407654,131.990005,100.658531,191.839996,265.137177,1581.209961,39.560146,43.617413,491.940002,26.135237,120.36705,418.320007,57.927994,307.383911,3294.620117
2020-09-08,132.689987,217.800003,199.219818,201.201736,271.160004,47.968418,119.026443,144.436371,1532.390015,36.131653,328.302185,134.199997,97.158043,185.949997,264.743866,1523.599976,38.765453,43.008762,462.130005,25.0914,112.266953,330.209991,57.429939,302.704163,3149.840088
2020-09-09,134.847153,219.630005,203.14209,209.769638,273.720001,48.664749,127.039474,146.82959,1556.959961,35.913994,338.015533,133.360001,98.081779,194.600006,272.393372,1547.22998,38.891441,43.784309,479.459991,25.120945,116.744888,366.279999,57.506561,307.403595,3268.610107
2020-09-10,133.431808,217.800003,200.633423,203.892227,268.089996,48.01746,123.010483,144.093094,1532.02002,35.014957,331.287872,133.220001,97.070534,190.089996,268.12616,1526.050049,38.348724,43.21492,476.26001,24.756588,112.93367,371.339996,57.018078,300.093384,3175.110107
2020-09-11,134.837387,217.929993,199.777283,202.56189,266.609985,48.331299,121.539253,144.946396,1520.719971,34.920326,328.570923,131.75,98.276253,184.0,271.695251,1515.76001,38.649158,43.853027,471.350006,25.111097,111.450974,372.720001,57.267113,298.243439,3116.219971
2020-09-14,135.315704,219.940002,204.057938,203.931946,266.149994,48.458797,128.610611,145.505478,1519.280029,34.693199,336.980499,131.25,99.637558,186.960007,275.94281,1508.829956,39.124031,44.442055,485.910004,25.357283,114.794502,419.619995,57.774746,305.257324,3102.969971
2020-09-15,135.315704,218.940002,204.46611,207.27771,272.420013,49.037437,129.797073,146.035126,1541.439941,34.324123,337.517914,131.240005,96.535728,186.020004,280.7901,1535.119995,39.346931,45.610291,497.670013,24.894453,114.973625,449.76001,58.042931,303.931732,3156.129883
2020-09-16,134.407913,219.589996,204.207291,203.574539,263.519989,49.400318,125.036209,145.554504,1520.900024,35.781502,340.214935,132.089996,96.944122,180.910004,276.906403,1512.089966,39.172493,45.953888,476.0,25.209572,111.58033,441.76001,57.822636,303.22934,3078.100098
2020-09-17,134.232224,218.050003,204.346664,201.449951,254.820007,49.351276,124.526657,144.348099,1495.530029,35.772038,337.806519,130.220001,95.835625,175.789993,275.264374,1487.040039,39.124031,44.746387,474.299988,24.963385,109.79911,423.429993,58.033352,301.705902,3008.72998
2020-09-18,134.0858,218.210007,201.698624,198.948074,252.529999,48.929554,121.786545,146.31955,1459.98999,35.194767,333.656464,128.630005,95.631439,176.070007,270.574371,1451.089966,38.581322,44.432236,467.549988,24.825518,106.316261,442.149994,57.803478,304.713226,2954.909912
2020-09-21,133.441589,213.020004,196.561829,201.082596,248.149994,48.762829,125.06369,142.317795,1431.160034,34.475536,326.281921,125.410004,92.675468,183.210007,267.782043,1430.140015,37.835087,43.862846,475.640015,24.096804,109.540382,449.390015,57.094707,295.978027,2960.469971
2020-09-22,134.661697,214.160004,199.657837,205.927475,254.75,48.988403,126.267647,141.444855,1465.459961,33.623825,333.706238,127.209999,91.664223,187.779999,268.725952,1459.819946,38.106445,45.345234,486.779999,23.57489,111.261894,424.230011,57.295841,291.100983,3128.98999
2020-09-23,133.051147,209.610001,194.49118,199.146637,249.020004,47.880154,121.132111,141.670441,1415.209961,32.544983,322.977783,123.279999,90.176514,181.610001,262.079285,1409.390015,37.098541,44.530411,470.390015,22.90526,106.594902,380.359985,56.42424,289.003723,2999.860107
2020-09-24,133.646576,208.720001,194.640518,201.727921,249.529999,48.213608,123.372665,141.896042,1428.290039,32.478741,326.640167,122.489998,90.098717,182.190002,261.243561,1422.859985,36.681812,44.864189,467.670013,22.984039,107.689507,387.790009,56.692425,289.518127,3019.790039
2020-09-25,134.329819,210.449997,196.362732,206.324615,254.820007,48.978596,128.62561,142.867065,1444.959961,32.781574,330.193115,124.0,90.88633,187.25,264.045746,1439.060059,37.263294,45.305962,479.779999,23.131752,111.729591,407.339996,56.883987,299.252502,3095.129883
2020-09-28,134.710495,213.539993,199.41893,207.932953,256.820007,50.439907,130.236679,144.289246,1464.52002,33.415627,336.771515,125.989998,93.501976,192.020004,267.76236,1458.660034,37.922306,45.904804,488.51001,23.722599,114.396454,421.200012,56.855259,299.97467,3174.050049
2020-09-29,133.978439,210.440002,198.542877,205.768631,261.790009,50.204529,132.142548,144.240204,1469.329956,32.440884,334.621857,125.400002,92.714363,194.5,267.546051,1466.02002,37.854465,45.355045,489.329987,23.407482,113.530724,419.070007,56.740322,300.884796,3144.879883
2020-09-30,135.667068,212.940002,199.07048,208.816544,261.899994,50.783169,135.187378,146.025314,1469.599976,32.488205,336.552551,124.080002,93.608932,197.029999,273.052124,1465.599976,38.174282,45.413948,490.429993,23.722599,115.242294,429.01001,56.979774,308.422974,3148.72998
2020-10-01,135.911102,212.020004,202.435303,210.931229,266.630005,51.234314,136.026642,144.495239,1490.089966,31.352583,341.727661,123.309998,94.289589,196.940002,272.963654,1487.900024,37.949322,45.590656,499.51001,23.732449,116.217491,448.160004,56.94146,309.709045,3221.26001
2020-10-02,134.817871,211.179993,200.553802,204.70636,259.940002,50.027992,130.508942,143.435944,1458.420044,31.21063,337.209381,122.550003,95.184151,191.910004,274.625305,1455.599976,37.430943,44.324253,478.98999,23.840771,112.465973,415.089996,56.740322,308.630737,3125.0
2020-10-05,136.05751,212.360001,202.62442,208.866211,264.649994,50.694904,136.306412,145.387772,1486.02002,31.929859,341.608246,123.370003,97.195984,196.850006,277.3685,1482.829956,37.724369,44.972179,486.470001,24.244518,115.928909,425.679993,57.142597,314.734467,3199.199951
2020-10-06,136.272263,210.259995,199.548325,204.42836,258.660004,50.381062,137.245605,143.455551,1453.439941,31.598633,335.816101,120.93,96.194977,191.660004,271.832947,1451.02002,37.724369,43.916447,478.980011,23.998331,112.605286,413.980011,56.951038,311.074219,3099.959961
2020-10-07,137.336197,213.289993,201.55925,208.320145,258.119995,51.656033,139.518616,145.044479,1460.290039,31.702732,342.255127,122.910004,97.873154,194.610001,278.046906,1459.140015,38.536171,44.360447,493.149994,24.500551,114.515877,425.299988,57.094707,319.700623,3195.689941
2020-10-08,138.263489,215.149994,202.066956,209.064774,263.76001,52.34256,138.267212,146.035126,1485.930054,33.368309,343.899139,123.089996,99.884964,193.059998,279.747894,1483.430054,38.917618,44.695911,490.839996,24.855061,114.40641,425.920013,57.296051,318.94873,3190.550049
2020-10-09,139.503128,215.679993,205.710495,214.257126,264.450012,51.803146,137.507874,148.075241,1515.219971,32.876209,351.112946,124.980003,99.315773,197.270004,281.12442,1510.449951,38.976303,44.251911,502.160004,24.97323,116.396606,434.0,57.431572,324.320465,3286.649902
2020-10-12,141.035583,216.410004,205.471558,219.806885,275.75,52.842747,142.136337,148.928543,1569.150024,32.77211,350.764191,124.970001,100.532684,201.509995,282.097839,1564.589966,39.475124,45.376713,510.890015,25.288351,123.790192,442.299988,57.644531,326.427582,3442.929932
2020-10-13,140.762283,212.309998,203.40094,221.256378,276.140015,52.793705,142.358643,145.515274,1571.680054,32.384106,344.58667,128.960007,98.903587,207.740005,285.489929,1567.069946,38.93718,45.278046,514.309998,24.569487,120.506355,446.649994,57.460609,327.86203,3443.629883
2020-10-14,140.596329,210.910004,201.290466,219.270782,271.820007,52.519093,140.829971,145.260269,1568.079956,32.31786,341.458038,126.589996,98.354012,203.600006,282.27478,1563.439941,39.015427,44.676178,506.309998,23.259769,120.595924,461.299988,56.560368,318.394745,3363.709961
2020-10-15,140.391373,211.649994,198.65239,218.079422,266.720001,52.81332,139.578568,144.367722,1559.130005,32.601768,337.343018,127.360001,99.826088,203.139999,282.717255,1555.469971,39.09367,44.508446,501.149994,23.781685,120.118271,448.880005,56.299004,321.085571,3338.649902
2020-10-16,140.937973,211.910004,199.359177,218.079422,265.929993,53.117355,137.994949,145.260269,1573.01001,32.270542,338.169983,126.809998,99.620003,204.449997,282.835266,1567.699951,39.279507,44.95245,502.820007,23.870314,118.436554,439.670013,56.192528,326.358337,3272.709961
2020-10-19,138.517273,208.990005,196.083984,212.678558,261.399994,53.52927,134.860168,141.55275,1534.609985,31.627024,330.468018,124.230003,97.941849,200.059998,278.971161,1529.949951,38.438358,43.73885,495.200012,23.358242,115.411461,430.829987,55.466522,320.739319,3207.209961
2020-10-20,139.073639,210.059998,196.810699,213.105469,267.559998,52.401405,136.33638,141.778351,1555.930054,31.892004,330.517853,124.949997,98.501236,201.960007,281.242432,1551.079956,38.340557,43.679646,494.579987,23.771837,116.933968,421.940002,55.418121,319.938019,3217.01001
2020-10-21,139.825241,210.179993,197.537415,213.254395,278.730011,52.470058,135.129944,141.170227,1593.310059,31.380972,332.21167,126.629997,97.519844,213.070007,279.738068,1585.98999,38.203625,43.926315,495.959991,23.68321,116.297104,422.640015,54.934124,319.324677,3184.939941
2020-10-22,138.834885,211.610001,197.099411,213.34375,278.119995,52.862362,133.493851,142.298172,1615.329956,32.989769,332.391022,127.559998,100.964485,203.929993,276.444275,1606.660034,37.968884,44.508446,483.600006,24.490705,115.182587,425.790009,55.495567,322.233124,3176.399902
2020-10-23,139.747696,212.710007,197.119308,214.674103,284.790009,47.272091,135.784363,142.455109,1641.0,32.32732,328.415466,128.350006,101.877182,203.039993,278.253387,1632.97998,37.968884,44.459114,488.5,24.520247,114.476074,420.630005,56.105404,327.050842,3204.399902
2020-10-26,138.687668,208.490005,192.201538,208.568359,277.109985,45.820583,131.298264,141.209457,1590.449951,31.560778,316.907318,124.059998,99.355026,197.220001,271.410126,1584.290039,36.844097,43.186317,475.200012,24.165737,114.486023,420.279999,55.960205,319.591766,3207.040039
2020-10-27,139.728073,206.880005,189.205078,211.715546,283.290009,44.761372,133.851044,140.405167,1604.26001,31.059214,315.960754,123.309998,97.480591,200.429993,272.196716,1598.880005,36.061638,42.860714,478.559998,23.486261,116.028427,424.679993,55.543968,317.069183,3286.330078
2020-10-28,135.11496,200.699997,180.056412,201.221588,267.670013,43.398132,126.160233,135.707031,1516.619995,29.876278,290.324036,118.470001,94.742531,192.309998,265.196106,1510.800049,34.927067,41.420185,456.970001,23.112055,110.654892,406.019989,54.508202,304.693451,3162.780029
2020-10-29,135.026627,201.509995,184.038406,203.246918,280.829987,43.26083,130.126801,134.559464,1567.23999,31.201166,292.117523,121.540001,95.360809,195.039993,265.107666,1556.880005,34.907509,42.485786,461.109985,23.18099,114.7547,410.829987,54.943802,300.41983,3211.01001
2020-10-30,134.565308,201.899994,180.892639,201.013123,263.109985,43.427555,125.231041,134.480988,1621.01001,30.869942,287.593994,121.25,96.214607,186.130005,262.236603,1616.109985,35.112907,41.676723,447.100006,23.338549,108.326363,388.040009,55.166443,301.864197,3036.149902
2020-11-02,135.939423,204.309998,183.908997,200.874115,261.359985,43.604088,125.698143,136.030701,1626.030029,32.166443,288.919128,120.129997,98.383461,187.759995,266.199005,1624.319946,35.112907,40.847919,444.940002,23.712753,108.236809,400.51001,55.853725,308.74942,3004.47998
2020-11-03,138.609131,206.630005,187.492798,204.944611,265.299988,43.98658,130.081833,135.844345,1650.209961,31.617559,294.319519,124.019997,101.484634,179.809998,272.717834,1645.660034,35.875801,42.051651,454.019989,24.313452,109.898621,423.899994,55.902126,317.900146,3048.409912
2020-11-04,138.039856,206.169998,193.097488,214.832947,287.380005,44.820217,137.822601,136.727066,1749.130005,31.447216,306.0867,125.07,98.383461,194.289993,277.978088,1745.849976,35.768215,43.117252,487.230011,23.318855,114.386513,420.980011,55.389088,350.753601,3241.159912
2020-11-05,139.747696,207.449997,196.750977,221.683304,294.679993,45.126461,141.476929,137.08017,1763.369995,31.390434,315.382874,126.959999,102.40712,204.559998,281.055603,1762.5,36.413742,43.758579,496.470001,24.234671,118.44651,438.089996,56.28933,350.595306,3322.0
2020-11-06,140.58197,208.850006,197.57724,222.110214,293.410004,44.839973,145.493408,139.52243,1761.75,31.021358,312.503387,127.459999,101.043007,202.729996,279.472595,1759.72998,36.707165,43.93618,494.630005,23.939245,118.311951,429.950012,56.657166,343.729828,3311.370117
2020-11-09,135.438873,221.5,211.723297,216.818542,278.769989,45.047428,136.189011,143.279007,1763.0,34.948715,343.311279,142.589996,114.723465,184.720001,265.441956,1761.420044,37.362476,46.550842,471.140015,27.336628,115.949493,421.26001,57.925251,346.242523,3143.73999
2020-11-10,137.666885,228.479996,212.350479,209.491653,272.429993,44.889366,127.588989,145.436813,1740.390015,35.72406,333.566742,142.110001,114.350525,183.360001,270.948029,1737.719971,37.871082,47.132977,452.0,27.238153,115.600609,410.359985,59.144932,349.892944,3035.02002
2020-11-11,139.443436,227.369995,211.743225,214.991806,276.480011,45.788342,134.063354,144.966019,1752.709961,35.35577,331.185425,137.820007,112.642929,192.339996,273.091461,1747.22998,38.467701,47.034309,467.75,26.923035,119.10939,417.130005,59.048134,347.924316,3137.389893
2020-11-12,139.521942,224.720001,207.63559,213.889786,275.079987,44.405308,134.450531,145.456436,1749.839966,34.144291,327.100281,135.520004,111.259186,189.100006,271.606781,1742.819946,37.82217,47.340176,462.579987,26.282948,118.830284,411.76001,58.844852,350.605225,3110.280029
2020-11-13,141.612564,227.419998,209.848923,214.952087,276.950012,44.909126,132.854416,147.025757,1777.02002,34.968098,333.815826,138.360001,111.955963,188.619995,272.52121,1772.26001,40.492321,48.346569,469.339996,26.588219,118.880127,408.5,59.106213,351.851715,3128.810059
2020-11-16,139.796768,233.100006,212.062271,215.666901,278.959991,45.630276,135.035019,147.95755,1781.380005,36.983994,334.234314,144.669998,115.116013,191.940002,274.880951,1774.030029,41.607327,48.879375,460.950012,27.159376,119.916817,408.089996,58.94165,352.989349,3131.060059
2020-11-17,139.256943,233.160004,210.078247,212.91684,275.0,44.978279,134.105835,146.486298,1770.150024,37.478279,335.280518,144.5,113.948166,192.300003,267.899994,1761.660034,40.961796,49.116169,467.950012,27.129831,119.009712,441.609985,58.806133,348.320038,3135.659912
2020-11-18,137.117233,230.070007,207.206863,210.109802,271.970001,44.513977,134.170761,144.544266,1746.780029,36.063271,334.722534,143.899994,113.104179,190.119995,265.304291,1740.640015,40.414074,48.484703,459.470001,26.568523,117.654045,486.640015,58.389893,340.811523,3105.459961
2020-11-19,136.950394,229.529999,206.947662,211.443649,272.940002,45.067184,134.285675,144.31868,1763.920044,36.247417,332.669983,141.720001,113.408409,190.899994,266.385834,1758.569946,40.267361,48.820171,466.410004,26.568523,118.262108,499.269989,58.283409,333.382141,3117.02002
2020-11-20,136.72464,227.009995,203.268723,209.422974,269.700012,44.839973,130.763718,143.553635,1742.189941,35.801594,321.829437,141.070007,112.436844,192.669998,265.284637,1736.380005,40.071747,48.514301,462.920013,26.401115,116.96624,489.609985,58.118851,331.106842,3099.399902
2020-11-23,136.194626,229.539993,207.535889,209.144257,268.429993,45.501858,131.285782,142.091919,1734.859985,38.147015,330.8367,145.979996,115.6754,200.820007,266.847931,1727.560059,40.727058,49.145771,460.609985,26.972271,113.487358,521.849976,58.302769,331.462952,3098.389893
2020-11-24,135.752945,233.919998,209.051315,212.877014,276.920013,46.440342,129.464859,142.091919,1768.880005,40.686275,341.14917,151.490005,121.023926,206.0,268.725952,1763.900024,41.675789,51.642029,462.700012,28.538021,114.803154,555.380005,58.69965,332.402771,3118.060059
2020-11-25,136.116104,233.130005,210.257706,212.886978,275.589996,46.479858,132.232452,141.904266,1771.430054,39.55233,340.083069,149.089996,119.757942,214.460007,269.365051,1764.130005,41.568203,51.109234,470.079987,28.587261,115.660416,574.0,58.477013,329.613007,3185.070068
2020-11-27,136.047394,231.550003,210.367371,214.240707,277.809998,46.875015,132.497223,142.220306,1793.189941,38.951435,337.841187,147.130005,118.963028,211.389999,271.360992,1787.02002,41.763817,51.059902,477.029999,28.547871,116.218628,585.76001,58.641571,334.312012,3195.340088
